ID 	How_often	Work_Din	Aperitif	Rom_Din	Spec_Occ	Place	Reasons	Meaning	Percept	Pl_Origin	W_Brand	Price	Pack	Quality	Info_lab	Sal_rec	F_rec	Provenance	Tech_inf	D_taste	Fbsw	Brand	History	Loyalty	Unloyal	List_Adv	G_info	Fr_rec	M_C_P	M_C_I_P	Know_it	Tried_w	Why_it_w	J_I_P	IT_Vs_Am	Dryness	Sweet	Oak	Fruity	Still	Spark	Red	White	D_of_B	Today	Age	Sex	Ed_level	City	Area 	Urb_rur	Home_con	Sp_occ	Gift	Format	It_brands	Job
329	5	3	5	5	5	1	1	2	2	4	3	4	3	5	4	3	4	5	4	4	3	3	3	3	1	3	2	4	2	1	1	1	1	2	1	4	4	2	5	3	4	5	3	20/4/1975	04/06/2014	39	2	4	3	3	1	1	2	3	2	1	1
330	6	5	5	5	5	1	1	1	3	2	2	4	3	4	3	3	3	4	2	2	2	3	3	1	3	1	2	2	3	3	1	1	2	2	2	2	2	2	3	4	3	3	4	NA	04/06/2014	NA	2	4	8	1	2	1	2	3	1	2	1
331	4	2	5	5	5	2	1	2	2	5	5	3	3	5	3	3	4	4	5	5	5	4	4	4	4	3	4	5	1	5	1	1	3	2	2	3	1	2	3	5	NA	4	4	8/2/1957	04/06/2014	57	2	3	32	3	1	3	3	3	1	1	1
332	6	1	5	5	5	4	1	2	2	4	2	3	1	4	2	2	3	4	4	1	2	2	3	2	4	2	3	3	1	2	2	1	2	3	2	4	1	1	2	5	5	5	5	17/4/1947	04/06/2014	67	1	4	3	3	1	3	3	3	1	3	1
333	6	4	5	5	5	1	1	1	2	3	3	5	4	5	3	4	4	4	4	4	4	4	4	1	5	3	3	4	1	5	1	1	2	2	2	5	1	1	4	5	4	5	4	1/8/1955	04/06/2014	59	2	4	3	3	1	1	3	3	1	9	1
334	6	2	5	5	5	1	3	2	2	4	4	3	3	4	4	3	3	3	4	4	5	4	4	4	3	2	3	4	1	2	1	1	2	2	2	4	3	2	4	4	5	4	5	NA	04/06/2014	NA	1	3	3	3	1	2	3	2	3	2	6
335	6	5	5	5	5	1	1	2	2	4	3	5	3	4	2	5	4	5	3	4	2	4	2	1	3	4	2	3	2	2	1	1	2	3	2	5	1	1	3	5	5	5	5	22/12/1961	04/06/2014	52	2	5	3	3	1	2	2	3	1	1	2
336	4	1	5	5	5	1	1	1	2	3	3	4	3	5	4	4	4	4	5	5	3	3	4	1	4	3	2	2	1	1	1	1	3	2	2	3	1	2	3	3	4	5	3	2/9/1954	04/06/2014	60	2	2	3	3	2	3	3	3	2	1	6
337	4	5	5	5	5	1	1	2	2	5	5	5	3	5	5	3	4	5	3	5	3	5	3	3	4	3	2	4	3	2	1	1	5	2	2	3	3	5	5	5	4	5	5	2/9/2014	04/06/2014	NA	2	4	3	3	1	2	3	3	1	10	1
338	6	5	5	5	5	1	1	2	2	4	3	5	3	5	4	4	5	5	4	4	3	3	3	2	5	3	3	4	3	1	1	1	2	2	2	4	1	3	4	5	4	5	4	13/11/1966	04/06/2014	48	1	4	3	3	1	1	3	3	1	2	1
339	5	5	5	5	5	1	1	2	2	4	2	2	2	5	2	4	4	5	4	3	3	5	3	1	4	3	3	4	2	1	1	1	3	2	1	5	1	3	3	5	5	5	4	1/10/1958	04/06/2014	56	2	3	3	3	1	2	3	3	1	1	2
340	5	3	3	5	5	1	1	2	2	5	4	4	3	5	5	3	4	5	3	5	5	4	3	1	4	3	3	5	3	1	1	1	1	1	2	4	2	3	5	5	3	5	2	20/2/1947	04/06/2014	67	1	3	3	3	1	2	3	3	1	2	1
341	6	4	5	5	5	1	1	1	2	5	3	5	3	5	4	2	4	5	3	4	4	3	3	4	3	2	3	4	2	2	1	1	3	1	1	3	2	2	4	5	4	5	4	8/11/1937	04/06/2014	77	1	4	26	3	2	2	3	2	1	1	6
342	6	4	5	5	5	1	1	2	2	5	1	4	1	5	3	1	4	3	3	2	3	1	1	3	4	1	3	2	2	2	1	1	4	3	2	4	2	4	1	1	1	5	3	1/3/1952	04/06/2014	62	2	4	71	3	1	3	3	3	1	1	6
343	4	5	5	5	5	1	1	1	2	5	4	3	2	5	3	1	2	5	5	2	1	4	2	2	5	1	4	2	2	6	1	1	1	2	1	5	2	2	2	5	5	5	5	25/6/1980	04/06/2014	34	1	1	3	3	1	2	3	3	1	3	1
344	4	5	5	5	5	1	1	2	2	4	2	3	1	5	5	2	4	4	4	4	4	2	3	2	3	2	3	2	1	3	1	1	2	2	2	5	1	3	3	5	5	5	3	6/3/1954	04/06/2014	60	1	3	3	3	1	3	3	3	1	2	3
345	3	2	3	4	4	4	1	2	2	3	4	2	4	4	3	2	3	3	3	3	4	4	2	2	2	3	4	4	3	5	1	1	2	2	2	4	2	2	4	1	4	2	4	3/6/0039	04/06/2014	NA	1	4	55	6	1	1	2	2	1	2	1
346	5	4	4	5	5	1	1	8	3	5	5	3	3	5	4	3	5	5	4	3	4	5	1	2	2	1	3	4	2	1	1	1	1	2	1	3	1	4	1	5	1	5	2	29/11/1949	04/06/2014	65	2	5	4	4	2	3	3	3	3	3	6
347	5	5	5	5	5	1	1	1	2	4	5	5	3	5	4	3	5	5	4	5	4	4	3	3	4	2	4	5	3	2	1	1	1	2	2	5	2	3	3	5	5	4	5	1/4/1959	04/06/2014	55	2	4	3	3	1	1	3	3	1	1	2
348	4	5	5	5	5	2	1	2	2	3	2	3	2	4	2	2	3	3	3	4	4	2	2	2	4	2	2	4	3	3	1	1	2	3	2	3	2	3	4	3	4	5	2	18/2/1969	04/06/2014	45	2	3	3	3	1	2	3	3	1	4	1
349	3	1	5	5	5	1	1	8	2	5	3	3	3	5	4	3	3	5	5	4	5	3	4	3	2	1	4	3	1	1	1	1	3	2	2	5	1	4	5	4	5	5	4	27/3/1955	04/06/2014	59	2	3	3	3	1	2	3	3	1	3	7
350	4	5	5	5	5	1	1	2	2	3	4	5	2	5	3	4	5	5	5	4	4	3	2	1	5	3	3	3	2	5	1	1	3	2	2	5	1	4	3	5	1	5	3	12/11/1972	04/06/2014	42	1	3	3	3	1	1	3	3	1	2	2
351	4	5	5	5	5	1	1	1	2	4	4	4	3	5	3	5	5	4	4	4	4	4	4	1	4	4	4	5	1	1	1	1	2	2	2	3	2	3	4	2	3	5	4	7/6/1959	04/06/2014	55	1	5	3	3	1	2	3	3	1	6	1
